"county","positive","negative","recovered","total_deaths","number_tested","current_infections","date","population"
"Marion",43,1580,35,0,1623,8,2020-08-27,16438
"Miller",591,4740,543,6,5331,42,2020-08-27,43759
"Mississippi",1304,9042,1161,20,10346,123,2020-08-27,42831
"Monroe",91,1720,78,0,1811,13,2020-08-27,7249
"Montgomery",70,1159,49,3,1229,18,2020-08-27,8993
"Nevada",161,2144,137,11,2305,13,2020-08-27,8440
"Newton",112,1129,92,15,1241,5,2020-08-27,7848
"Ouachita",141,3988,114,4,4129,23,2020-08-27,24106
"Perry",61,2032,57,0,2093,4,2020-08-27,10322
"Phillips",393,4932,344,9,5325,40,2020-08-27,19034
"Pike",167,1685,149,1,1852,17,2020-08-27,10808
"Poinsett",453,5275,349,5,5728,99,2020-08-27,24054
"Polk",218,2990,182,4,3208,32,2020-08-27,20163
"Pope",1658,15376,1483,14,17034,161,2020-08-27,63644
"Prairie",114,1504,112,0,1618,2,2020-08-27,8244
"Pulaski",6855,89446,6067,99,96301,689,2020-08-27,393463
"Randolph",296,3518,256,12,3814,28,2020-08-27,17603
"Saline",1509,18900,1270,11,20409,228,2020-08-27,118009
"Scott",84,1389,79,0,1473,5,2020-08-27,10442
"Searcy",87,1423,36,0,1510,51,2020-08-27,7923
"Sebastian",2790,30421,2439,32,33211,319,2020-08-27,127461
"Sevier",1146,5466,1088,12,6612,46,2020-08-27,17193
"Sharp",147,2683,122,5,2830,20,2020-08-27,17043
"St. Francis",1299,8948,1241,3,10247,55,2020-08-27,26294
"Stone",183,2216,114,2,2399,67,2020-08-27,12446
"Union",670,6728,573,20,7398,77,2020-08-27,39732
"Van Buren",109,2713,73,2,2822,34,2020-08-27,16684
"Washington",6673,50280,6429,55,56953,189,2020-08-27,228529
"White",511,9546,411,10,10057,90,2020-08-27,78804
"Woodruff",27,1284,23,0,1311,4,2020-08-27,6660
"Yell",1133,7337,1069,23,8470,41,2020-08-27,21757
"Arkansas",270,3866,244,2,4136,24,2020-08-26,18124
"Ashley",383,3892,355,7,4275,21,2020-08-26,20537
"Baxter",121,2354,87,0,2475,34,2020-08-26,41219
"Benton",5147,53037,4902,47,58184,198,2020-08-26,258980
"Boone",292,5844,234,1,6136,57,2020-08-26,37288
"Bradley",271,2855,222,5,3126,44,2020-08-26,10948
"Calhoun",23,1209,18,0,1232,5,2020-08-26,5202
