"","County","Date","Population","Cases_Population","Tested_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Current_Infections","Positive","New_Cases_Today","Negative","Recovered","Recovered_Since_Yesterday","Total_Deaths","New_Deaths_Today","Number_Tested","New_Tests_Dashboard","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","Hospitalized","Hosp_Change_from_Yesterday","Ever_Hospitalized","New_Admits","New_Discharges_Deaths","Pct_Hospitalized","Vent","Ever_on_a_Vent","New_on_Vent","Pct_Vent"
"92","Arkansas_all_counties",2020-06-03,3017804,0.267313582989485,4.7213139090544,0.82510328702593,7.31657854519379,2208,8067,249,134413,5717,150,142,6,142480,3580,5.66184727681078,6.95530726256983,5859,2.42362177846049,97.5763782215395,138,6,757,26,20,6.25,30,NA,NA,21.7391304347826
"93","Arkansas_all_counties",2020-06-02,3017804,0.259062550119226,4.60268460112055,1.24262543226797,7.00840743799133,2115,7818,375,131082,5567,166,136,3,138900,5664,5.62850971922246,6.62076271186441,5703,2.38470980185867,97.6152901981413,132,11,731,13,2,6.24113475177305,31,NA,NA,23.4848484848485
"94","Arkansas_all_counties",2020-06-01,3017804,0.246636295796546,4.4149984558308,0.629596885682437,6.3257918671988,1909,7443,190,125793,5401,126,133,0,133236,3721,5.5863280194542,5.10615425960763,5534,2.40332490061438,97.5966750993856,121,6,718,7,1,6.33839706652698,26,NA,NA,21.4876033057851
"95","Arkansas_all_counties",2020-05-31,3017804,0.240340326939722,4.29169687627162,0.795280276651499,6.1137171267584,1845,7253,240,122262,5275,109,133,0,129515,3018,5.60012353781415,7.95228628230616,5408,2.45931952662722,97.5406804733728,115,11,711,9,-2,6.23306233062331,27,NA,NA,23.4782608695652
"96","Arkansas_all_counties",2020-05-30,3017804,0.232387524173207,4.19169038148269,0.782025605373974,5.67962664241946,1714,7013,236,119484,5166,220,133,1,126497,3607,5.54400499616592,6.54283337953978,5299,2.50990752972259,97.4900924702774,104,-9,702,25,34,6.06767794632439,26,NA,NA,25
"97","Arkansas_all_counties",2020-05-29,3017804,0.224567268119467,4.07216638323761,0.791966608832118,5.62992162512874,1699,6777,239,116113,4946,363,132,7,122890,3122,5.51468793229718,7.65534913516976,5078,2.59944860181174,97.4005513981883,113,9,677,10,1,6.65097115950559,24,NA,NA,21.2389380530973
"98","Arkansas_all_counties",2020-05-28,3017804,0.216647602031146,3.96871367391653,0.864867300858505,6.06401210946768,1830,6538,261,113230,4583,159,125,5,119768,1127,5.45888718188498,23.1588287488909,4708,2.65505522514868,97.3449447748513,104,-4,667,27,31,5.68306010928962,27,NA,NA,25.9615384615385
"99","Arkansas_all_counties",2020-05-27,3017804,0.207998929022561,3.9313686375921,0.321425778479981,5.7425863309877,1733,6277,97,112364,4424,92,120,1,118641,3142,5.29075108942103,3.08720560152769,4544,2.64084507042254,97.3591549295775,108,1,640,13,12,6.23196768609348,22,NA,NA,20.3703703703704
"100","Arkansas_all_counties",2020-05-26,3017804,0.204784671237761,3.82725319470714,0.500363840726568,5.72933165971017,1729,6180,151,109319,4332,83,119,2,115499,3877,5.35069567701885,3.89476399277792,4451,2.67355650415637,97.3264434958436,107,8,627,10,2,6.18854829381145,18,NA,NA,16.8224299065421
"101","Arkansas_all_counties",2020-05-25,3017804,0.199781032830495,3.69878229334973,0.354562456673793,5.51062958363101,1663,6029,107,105593,4249,101,117,1,111622,3041,5.40126498360538,3.51857941466623,4366,2.67979844251031,97.3202015574897,99,7,617,12,5,5.95309681298858,17,NA,NA,17.1717171717172
"102","Arkansas_all_counties",2020-05-24,3017804,0.196235408263757,3.59801365496235,0.487109169449043,5.4940612445341,1658,5922,147,102659,4148,52,116,1,108581,1987,5.45399287168105,7.3980875691998,4264,2.72045028142589,97.2795497185741,92,6,605,7,1,5.54885404101327,17,NA,NA,18.4782608695652
"103","Arkansas_all_counties",2020-05-23,3017804,0.191364316569267,3.53217107539124,0.540127854559143,5.18257646951227,1564,5775,163,100819,4096,67,115,2,106594,3547,5.41775334446592,4.59543276007894,4211,2.73094276893849,97.2690572310615,86,5,598,8,3,5.49872122762148,17,NA,NA,19.7674418604651
"104","Arkansas_all_counties",2020-05-22,3017804,0.185963038023676,3.41463527783779,0.510304844184712,4.87109169449043,1470,5612,154,97435,4029,114,113,3,103047,3771,5.44605859462187,4.08379740121983,4142,2.72815065185901,97.271849348141,81,-5,590,6,11,5.51020408163265,14,NA,NA,17.2839506172839
"105","Arkansas_all_counties",2020-05-21,3017804,0.180859989581828,3.28967686436893,1.50771885781847,4.74848598517332,1433,5458,455,93818,3915,63,110,3,99276,3018,5.49780410169628,15.0762094102054,4025,2.73291925465838,97.2670807453416,86,7,584,16,9,6.00139567341242,14,NA,NA,16.2790697674419
"106","Arkansas_all_counties",2020-05-20,3017804,0.165782801003644,3.18967036958,0.2650934255505,3.45946920343402,1044,5003,80,91255,3852,113,107,5,96258,2557,5.1974900787467,3.12866640594447,3959,2.7027027027027,97.2972972972973,79,1,568,12,11,7.56704980842912,16,NA,NA,20.253164556962
