"","Date","Negative","Number_Tested","New_Tests_Dashboard","Tested_Population","Pct_Positive_Cumulative","Pct_Positive_New_to_Dashboard"
"91",2020-06-05,142324,150975,3590,5.00280999031084,5.73008776287465,6.29526462395543
"92",2020-06-04,138960,147385,4905,4.88384931559505,5.71632119957933,7.2986748216106
"93",2020-06-03,134413,142480,3580,4.7213139090544,5.66184727681078,6.95530726256983
"94",2020-06-02,131082,138900,5664,4.60268460112055,5.62850971922246,6.62076271186441
"95",2020-06-01,125793,133236,3721,4.4149984558308,5.5863280194542,5.10615425960763
"96",2020-05-31,122262,129515,3018,4.29169687627162,5.60012353781415,7.95228628230616
"97",2020-05-30,119484,126497,3607,4.19169038148269,5.54400499616592,6.54283337953978
"98",2020-05-29,116113,122890,3122,4.07216638323761,5.51468793229718,7.65534913516976
"99",2020-05-28,113230,119768,1127,3.96871367391653,5.45888718188498,23.1588287488909
"100",2020-05-27,112364,118641,3142,3.9313686375921,5.29075108942103,3.08720560152769
"101",2020-05-26,109319,115499,3877,3.82725319470714,5.35069567701885,3.89476399277792
"102",2020-05-25,105593,111622,3041,3.69878229334973,5.40126498360538,3.51857941466623
"103",2020-05-24,102659,108581,1987,3.59801365496235,5.45399287168105,7.3980875691998
"104",2020-05-23,100819,106594,3547,3.53217107539124,5.41775334446592,4.59543276007894
"105",2020-05-22,97435,103047,3771,3.41463527783779,5.44605859462187,4.08379740121983
"106",2020-05-21,93818,99276,3018,3.28967686436893,5.49780410169628,15.0762094102054
"107",2020-05-20,91255,96258,2557,3.18967036958,5.1974900787467,3.12866640594447
"108",2020-05-19,88778,93701,6087,3.10493988343842,5.25394606247532,1.80712994907179
"109",2020-05-18,82801,87614,2429,2.90323692327268,5.49341429451914,2.2231370934541
"110",2020-05-17,80426,85185,1953,2.82274793193991,5.58666431883548,9.26779313876088
"111",2020-05-16,78654,83232,1703,2.7580319994274,5.50028835063437,6.75278919553729
"112",2020-05-15,77066,81529,3024,2.70160023646334,5.47412577119798,3.20767195767196
"113",2020-05-14,74139,78505,2687,2.60139492160525,5.56142920833068,4.83810941570525
"114",2020-05-13,71582,75818,2603,2.51235666729847,5.58706375794666,2.76603918555513
"115",2020-05-12,69051,73215,2892,2.42610189395998,5.68735914771563,4.18395573997234
"116",2020-05-11,66280,70323,1315,2.33027062062347,5.74918589935014,2.3574144486692
"117",2020-05-10,64996,69008,1558,2.28669588879861,5.81381868768838,1.79717586649551
"118",2020-05-09,63466,67450,1922,2.23506894417265,5.90659747961453,12.3309053069719
"119",2020-05-08,61781,65528,2209,2.17138024868414,5.71816628006348,3.71208691715708
"120",2020-05-07,59654,63319,4316,2.09818132655401,5.78815205546518,2.24745134383689
"121",2020-05-06,55435,59003,2699,1.95516342346952,6.04715014490789,2.66765468692108
"122",2020-05-05,52808,56304,1862,1.86572752902442,6.20915032679739,2.04081632653061
"123",2020-05-04,50984,54442,1552,1.80402703422754,6.35171375041328,1.73969072164948
"124",2020-05-03,49459,52890,1308,1.75259890967074,6.48704859141615,4.51070336391437
"125",2020-05-02,48210,51582,1906,1.70925613459323,6.53716412702105,2.67576075550892
"126",2020-05-01,46355,49676,1297,1.64609762595583,6.68532087929785,5.08866615265999
"127",2020-04-30,45124,48379,2636,1.60311935433845,6.72812583972385,2.38998482549317
"128",2020-04-29,42551,45743,2784,1.51577107061956,6.97811687034082,2.90948275862069
"129",2020-04-28,39848,42959,2502,1.42351855852799,7.24178868223189,3.75699440447642
"130",2020-04-27,37440,40457,988,1.34061058968707,7.45730034357466,7.69230769230769
"131",2020-04-26,36528,39469,1410,1.30787155163158,7.45141756821809,7.87234042553191
"132",2020-04-25,35229,38059,2397,1.26114883537831,7.43582332693975,3.71297455152274
"133",2020-04-24,32921,35662,1676,1.18172021774774,7.68605238068532,16.4677804295943
"134",2020-04-23,31521,33986,4273,1.12618314509491,7.25298652386277,4.42312192838755
"135",2020-04-22,27437,29713,691,0.984590119172749,7.65994682462222,7.09117221418234
"136",2020-04-21,26795,29022,2468,0.961692674540825,7.67348907725174,12.3176661264182
"137",2020-04-20,24631,26554,1703,0.879911352758496,7.24184680274158,8.33822665883735
"138",2020-04-19,23070,24851,710,0.823479589794433,7.16671361313428,5.91549295774648
"139",2020-04-18,22402,24141,44,0.799952548276826,7.20351269624291,100
"140",2020-04-17,22402,24097,1422,0.798494534436299,7.0340706311989,5.27426160337553
"141",2020-04-16,21055,22675,1401,0.751374178044697,7.14443219404631,3.64025695931478
"142",2020-04-15,19705,21274,71,0.704949691895166,7.37519977437247,100
"143",2020-04-14,19705,21203,399,0.702596987743406,7.06503796632552,22.0551378446115
"144",2020-04-13,19394,20804,1082,0.689375453144074,6.77754278023457,12.0147874306839
"145",2020-04-12,18442,19722,1144,0.653521567338369,6.49021397424196,4.72027972027972
"146",2020-04-11,17352,18578,1458,0.615613207484648,6.5992033588115,3.77229080932785
"147",2020-04-10,15949,17120,2194,0.567299930678069,6.83995327102804,3.50957155879672
"148",2020-04-09,13832,14926,70,0.494598058720845,7.32949216132922,101.428571428571
